,a,b,prod_coef,max_n
0,-61,971,-59231,71
1,-59,911,-53749,70
2,-57,853,-48621,69
3,-55,797,-43835,68
4,-53,743,-39379,67
5,-51,691,-35241,66
6,-49,641,-31409,65
7,-47,593,-27871,64
8,-45,547,-24615,63
9,-43,503,-21629,62
10,-41,461,-18901,61
11,-39,421,-16419,60
12,-37,383,-14171,59
13,-35,347,-12145,58
14,-33,313,-10329,57
15,-31,281,-8711,56
16,-55,647,-35585,56
17,-53,593,-31429,55
18,-29,251,-7279,55
19,-27,223,-6021,54
20,-51,541,-27591,54
21,-49,491,-24059,53
22,-25,197,-4925,53
23,-23,173,-3979,52
24,-47,443,-20821,52
25,-45,397,-17865,51
26,-21,151,-3171,51
27,-43,353,-15179,50
28,-19,131,-2489,50
29,-17,113,-1921,49
30,-41,311,-12751,49
31,-15,97,-1455,48
32,-39,271,-10569,48
33,-47,479,-22513,48
34,-13,83,-1079,47
35,-37,233,-8621,47
36,-45,433,-19485,47
37,-11,71,-781,46
38,-35,197,-6895,46
39,-43,389,-16727,46
40,-33,163,-5379,45
41,-9,61,-549,45
42,-41,347,-14227,45
43,-31,131,-4061,44
44,-7,53,-371,44
45,-39,307,-11973,44
46,-29,101,-2929,43
47,-5,47,-235,43
48,-37,269,-9953,43
49,-3,43,-129,42
50,-35,233,-8155,42
51,-27,73,-1971,42
52,-25,47,-1175,41
53,-33,199,-6567,41
54,-1,41,-41,41
55,1,41,41,40
56,-31,167,-5177,40
57,-23,23,-529,40
58,-29,137,-3973,39
59,-21,1,-21,39
60,3,43,129,39
61,-19,-19,361,38
62,-27,109,-2943,38
63,5,47,235,38
64,7,53,371,37
65,-17,-37,629,37
66,-25,83,-2075,37
67,9,61,549,36
68,-35,263,-9205,36
69,-23,59,-1357,36
70,-15,-53,795,36
71,-33,229,-7557,35
72,-13,-67,871,35
73,-21,37,-777,35
74,11,71,781,35
75,-19,17,-323,34
76,-11,-79,869,34
77,13,83,1079,34
78,-31,197,-6107,34
79,-17,-1,17,33
80,-9,-89,801,33
81,-29,167,-4843,33
82,15,97,1455,33
83,17,113,1921,32
84,-27,139,-3753,32
85,-7,-97,679,32
86,-15,-17,255,32
87,-31,257,-7967,32
88,-5,-103,515,31
89,-13,-31,403,31
90,-25,113,-2825,31
91,-29,227,-6583,31
92,19,131,2489,31
93,-3,-107,321,30
94,-11,-43,473,30
95,-23,89,-2047,30
96,-27,199,-5373,30
97,21,151,3171,30
